Range,Range Name,Chapter,Chapter Name,Section,Section Name,Subject,Subject Name,Level,Status,GitHub URL
000-009,General Information and Service,000,General,000-000,General Introduction,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-000_General-Introduction
000-009,General Information and Service,000,General,000-100,Applicability and Effectivity,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-100_Applicability-and-Effectivity
000-009,General Information and Service,000,General,000-200,Identification and Designation,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-200_Identification-and-Designation
000-009,General Information and Service,000,General,000-300,Vocabulary Units and Reference Frames,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-300_Vocabulary-Units-and-Reference-Frames
000-009,General Information and Service,000,General,000-900,Sustainability Lifecycle and DPP Framing,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-900_Sustainability-Lifecycle-and-DPP-Framing
000-009,General Information and Service,001,Maintenance Policy,001-000,Maintenance Policy General,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-000_Maintenance-Policy-General
000-009,General Information and Service,001,Maintenance Policy,001-100,Maintenance Concept and Philosophy,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-100_Maintenance-Concept-and-Philosophy
000-009,General Information and Service,001,Maintenance Policy,001-200,Maintenance Programme Structure MSG 3,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-200_Maintenance-Programme-Structure-MSG-3
000-009,General Information and Service,001,Maintenance Policy,001-300,Reliability and Condition Monitoring Policy,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-300_Reliability-and-Condition-Monitoring-Policy
000-009,General Information and Service,001,Maintenance Policy,001-900,Green Maintenance and Circularity Policy,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-900_Green-Maintenance-and-Circularity-Policy
