Band Code,Band,Range Code,Range Name,Chapter Code,Chapter Name,Section Code,Section Number,Section Name,Section Folder,Repository Path,GitHub URL
000-099,S-ATLAS,000-009,General Information and Service,000,General,000-000,000,General Introduction,000-000_General-Introduction,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-000_General-Introduction,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-000_General-Introduction
000-099,S-ATLAS,000-009,General Information and Service,000,General,000-100,100,Applicability and Effectivity,000-100_Applicability-and-Effectivity,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-100_Applicability-and-Effectivity,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-100_Applicability-and-Effectivity
000-099,S-ATLAS,000-009,General Information and Service,000,General,000-200,200,Identification and Designation,000-200_Identification-and-Designation,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-200_Identification-and-Designation,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-200_Identification-and-Designation
000-099,S-ATLAS,000-009,General Information and Service,000,General,000-300,300,Vocabulary Units and Reference Frames,000-300_Vocabulary-Units-and-Reference-Frames,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-300_Vocabulary-Units-and-Reference-Frames,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-300_Vocabulary-Units-and-Reference-Frames
000-099,S-ATLAS,000-009,General Information and Service,000,General,000-900,900,Sustainability Lifecycle and DPP Framing,000-900_Sustainability-Lifecycle-and-DPP-Framing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-900_Sustainability-Lifecycle-and-DPP-Framing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/000_General/000-900_Sustainability-Lifecycle-and-DPP-Framing
000-099,S-ATLAS,000-009,General Information and Service,001,Maintenance Policy,001-000,000,Maintenance Policy General,001-000_Maintenance-Policy-General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-000_Maintenance-Policy-General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-000_Maintenance-Policy-General
000-099,S-ATLAS,000-009,General Information and Service,001,Maintenance Policy,001-100,100,Maintenance Concept and Philosophy,001-100_Maintenance-Concept-and-Philosophy,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-100_Maintenance-Concept-and-Philosophy,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-100_Maintenance-Concept-and-Philosophy
000-099,S-ATLAS,000-009,General Information and Service,001,Maintenance Policy,001-200,200,Maintenance Programme Structure MSG 3,001-200_Maintenance-Programme-Structure-MSG-3,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-200_Maintenance-Programme-Structure-MSG-3,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-200_Maintenance-Programme-Structure-MSG-3
000-099,S-ATLAS,000-009,General Information and Service,001,Maintenance Policy,001-300,300,Reliability and Condition Monitoring Policy,001-300_Reliability-and-Condition-Monitoring-Policy,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-300_Reliability-and-Condition-Monitoring-Policy,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-300_Reliability-and-Condition-Monitoring-Policy
000-099,S-ATLAS,000-009,General Information and Service,001,Maintenance Policy,001-900,900,Green Maintenance and Circularity Policy,001-900_Green-Maintenance-and-Circularity-Policy,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-900_Green-Maintenance-and-Circularity-Policy,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/001_Maintenance-Policy/001-900_Green-Maintenance-and-Circularity-Policy
