requirementId,node,infoCode,schemaType,title,status,publicationTargets,dataModules
DMREQ-003-900-010-034-001,003-900-010,034,descriptive,Ground Charging Connection Interface - Technical data,AUTHORED,PMC-EWTW-ECHM;PMC-EWTW-SDS,DMC-EWTW-A-03-90-01-00A-034A-A
DMREQ-003-900-010-040-001,003-900-010,040,descriptive,Ground Charging Connection Interface - Description,AUTHORED,PMC-EWTW-ECHM;PMC-EWTW-SDS,DMC-EWTW-A-03-90-01-00A-040A-A
DMREQ-003-900-010-420-001,003-900-010,420,fault,Ground Charging Connection Interface - Fault isolation,AUTHORED,PMC-EWTW-ECHM,DMC-EWTW-A-03-90-01-00A-420A-A
DMREQ-003-900-010-720-001,003-900-010,720,procedural,Ground Charging Connection Interface - Installation,AUTHORED,PMC-EWTW-ECHM,DMC-EWTW-A-03-90-01-00A-720A-A
DMREQ-003-900-010-730-001,003-900-010,730,procedural,Ground Charging Connection Interface - Test and check,AUTHORED,PMC-EWTW-ECHM,DMC-EWTW-A-03-90-01-00A-730A-A
DMREQ-021-000-010-040-001,021-000-010,040,descriptive,ECS General and Zoning - Description,AUTHORED,PMC-EWTW-AMM;PMC-EWTW-SDS,DMC-EWTW-A-21-00-01-00A-040A-A
DMREQ-021-000-010-200-001,021-000-010,200,procedural,ECS General and Zoning - Servicing,AUTHORED,PMC-EWTW-AMM,DMC-EWTW-A-21-00-01-00A-200A-A
DMREQ-021-000-010-300-001,021-000-010,300,procedural,ECS General and Zoning - Scheduled maintenance,AUTHORED,PMC-EWTW-AMM,DMC-EWTW-A-21-00-01-00A-300A-A
DMREQ-021-200-010-040-001,021-200-010,040,descriptive,Distribution Ducting Architecture - Description,AUTHORED,PMC-EWTW-AMM;PMC-EWTW-SDS,DMC-EWTW-A-21-20-01-00A-040A-A
DMREQ-021-200-010-200-001,021-200-010,200,procedural,Distribution Ducting Architecture - Servicing,AUTHORED,PMC-EWTW-AMM,DMC-EWTW-A-21-20-01-00A-200A-A
DMREQ-021-200-010-300-001,021-200-010,300,procedural,Distribution Ducting Architecture - Scheduled maintenance,AUTHORED,PMC-EWTW-AMM,DMC-EWTW-A-21-20-01-00A-300A-A
